광고소재명,광고소재등록일,광고소재초수,대업종 분류,중업종 분류,소업종 분류,mid_cluster,major_cluster
스마트인 파주운정가구단지 : 여름특가전편,2024-07-25,15.0,가정용품,가구류,가구류제품종합,0,B
에스케이텔레콤 SKT : GTAA 환영합니다 F편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
에스케이텔레콤 SKT 갤럭시 폴더블6 : 보여드릴까요편,2024-07-25,60.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
에스케이텔레콤 SKT 갤럭시 Z Flip6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
비케이알 버거킹 : 콰트로치즈 비프라구 와퍼편,2024-07-25,15.0,식품,제빵,"햄버거,피자및샌드위치",108,L
월트디즈니 데드풀과 울버린 : 절찬 상영중편,2024-07-25,15.0,서비스,서비스기타,서비스기타,58,J
에스케이텔레콤 T우주패스: 넷플릭스편,2024-07-25,60.0,컴퓨터및정보통신,통신망,이동통신,130,R
홈플러스 썸머 슈퍼세일 : 홈플런편,2024-07-25,15.0,유통,대형유통,대형유통제품종합,39,M
에스케이텔레콤 SKT T 로밍 바로요금제 : 가족 모두 로밍 해결편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
캐롯손해보험 캐롯 : 재가입률편,2024-07-25,15.0,"금융,보험및증권",금융및보험,손해보험,24,G
퍼스트펀 라스트워 서바이벌 : 우린 항상 1위로 달려편,2024-07-25,15.0,컴퓨터및정보통신,컴퓨터게임,모바일게임,126,R
케이티 KT 갤럭시 Z 플립6 : KT니까 괜찮아편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
제주항공 : 일본편,2024-07-25,15.0,수송기기,항공수송기기,항공기,135,K
케이티 KT 로밍 : 함께 쓰는 로밍편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
정관장 알엑스진 피크업 : 남자의 성공테크닉편,2024-07-25,15.0,식품,건강식품,건강보조식품,10,L
에스케이텔레콤 SKT 갤럭시 Z Fold6 : 육대급 혜택편,2024-07-25,30.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
케이티  KT 로밍 : 함께 쓰는 로밍편,2024-07-25,30.0,컴퓨터및정보통신,통신망,이동통신,130,R
케이씨씨건설 : KCC건설 기업PR 식구편1,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR,26,F
코웨이 : 상체 리클라이닝 안마베드,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,5,A
롯데칠성음료 : 레몬진 탄산주 여름편,2024-07-24,15.0,음료및기호식품,알콜음료,알콜음료기타,78,N
씨앤조이 : 체프리스 커피 프랜차이즈 문의,2024-07-24,30.0,음료및기호식품,비알콜음료,"커피,코코아음료",53,N
농협은행 : NH올원뱅크 달콤혜택 30초,2024-07-24,30.0,"금융,보험및증권",금융및보험,은행,24,G
삼성전자 : Galaxy Z시리즈 15초,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
케이티 :  KT 함께쓰는 로밍,2024-07-24,15.0,컴퓨터및정보통신,통신망,이동통신,130,R
농협은행 : NH올원뱅크 달콤혜택 15초,2024-07-24,15.0,"금융,보험및증권",금융및보험,은행,24,G
제주항공 : 발리편,2024-07-24,15.0,수송기기,항공수송기기,항공기,135,K
제주항공 : 일본편,2024-07-24,15.0,수송기기,항공수송기기,항공기,135,K
케이씨씨건설 : KCC건설 기업PR 식구편4,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR,26,F
케이씨씨건설 : KCC건설 기업PR 식구편3,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR,26,F
월트디즈니컴퍼니코리아 폭군 : 단독 공개편,2024-07-24,15.0,서비스,서비스기타,서비스기타,58,J
삼성전자 갤럭시Z폴더블6 : 와우편,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
농협은행 NH올원뱅크 : 없나요 수정편,2024-07-24,15.0,"금융,보험및증권",금융및보험,은행,24,G
서울시의사회 서울특별시의사회 : 지켜주십시오편,2024-07-24,15.0,관공서및단체,단체,민간단체,36,D
삼성전자 갤럭시Z폴더블6 : 도전해볼께요편,2024-07-24,15.0,컴퓨터및정보통신,통신기기,휴대폰,129,R
두울황토방청호가구요한이네 황토방 흙돌침대 : 만나보세요편,2024-07-24,20.0,가정용품,가구류,가구류제품종합,0,B
월트디즈니컴퍼니코리아 디즈니플러스 : 예능 보고 디플 때편,2024-07-24,15.0,서비스,서비스기타,서비스기타,58,J
오비맥주 카스 : 소리 펜싱편,2024-07-24,30.0,음료및기호식품,알콜음료,맥주,78,N
오비맥주 카스 : 스토리 펜싱편,2024-07-24,30.0,음료및기호식품,알콜음료,맥주,78,N
월트디즈니컴퍼니코리아 에이리언 로물루스 : 대개봉편,2024-07-24,30.0,서비스,문화및공연,영화,44,J
제주항공 : 제이가 있다 일본발리편,2024-07-24,30.0,수송기기,항공수송기기,항공기,135,K
케이씨씨건설 KCC건설 : 돼지수육 구이편,2024-07-24,60.0,그룹및기업광고,기타광고,기타기업PR,26,F
어댑트 콜레올로지 신봉선다이어트성공세트 : 검색하세요 8월편,2024-07-24,15.0,식품,건강식품,다이어트식품,10,L
봄소와광주점 봄소와 : 잘 샀다 입주혼수특별전편,2024-07-24,15.0,가정용품,가구류,가구류제품종합,0,B
제주항공 : 제이가 있다 발리일본편,2024-07-24,30.0,수송기기,항공수송기기,항공기,135,K
아쿠아플라넷 광교 : 키즈존편,2024-07-24,30.0,서비스,스포츠및오락시설,공원및테마파크,69,J
악사손해보험 AXA손해보험 : 나를 지켜주는 암보험편,2024-07-24,60.0,"금융,보험및증권","금융,보험및증권기타","금융,보험및증권기업PR",23,G
미래엔 : 클래스가 다르다편,2024-07-24,30.0,출판,초등학생용교재,초등학생용학습지,119,Q
코웨이 리클라이닝 안마베드 : 시작편,2024-07-24,15.0,가정용전기전자,가정용전기전자기타,가정용전기전자기타,5,A
